,한글이름,영어이름,한글정보,영어정보,한글정보2,영어정보2,한글정보3,영어정보3,아이디,이미지,체력,공격,방어,특수공격,특수방어,스피드,타입
1,이상해씨,Bulbasaur,씨앗포켓몬,Seed Pokémon,태어났을 때부터 등에 이상한 씨앗이 심어져 있으며 몸과 함께 자란다고 한다.,A strange seed was planted on its back at birth.The plant sprouts and grows with this POKéMON.,태어나서 얼마 동안 등의 씨앗에 담긴 영양을 섭취하며 자란다.,"While it is young, it uses the nutrients that are stored in the seed on its back in order to grow.",1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/1.png,45,49,49,65,65,45,grass
2,이상해풀,Ivysaur,씨앗포켓몬,Seed Pokémon,꽃봉오리가 등에 붙어 있으며 양분을 흡수해가면 커다란 꽃이 핀다고 한다.,"When the bulb on its back grows large, it appearsto lose the ability to stand on its hind legs.",햇빛을 받을수록 몸에 힘이 솟아나 등의 꽃봉오리가 자라난다.,Exposure to sunlight adds to its strength. Sunlight also makes the bud on its back grow larger.,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/2.png,60,62,63,80,80,60,grass
3,이상해꽃,Venusaur,씨앗포켓몬,Seed Pokémon,큰 꽃잎을 펼쳐 햇빛을 받고 있으면 몸에 힘이 넘쳐흐른다.,The plant blooms when it is absorbing solarenergy. It stays on the move to seek sunlight.,꽃에서 황홀한 향기가 퍼져 나와 싸우는 자의 기분을 달래준다.,A bewitching aroma wafts from its flower. The fragrance becalms those engaged in a battle.,3,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/3.png,80,82,83,100,100,80,grass
4,파이리,Charmander,도롱뇽포켓몬,Lizard Pokémon,꼬리의 불꽃은 파이리의 생명력의 상징이다. 건강할 때 왕성하게 불타오른다.,"Obviously prefers hot places. When it rains, steamis said to spout from the tip of its tail.",태어날 때부터 꼬리에 불꽃이 타오르고 있다. 불꽃이 꺼지면 생명도 다하고 만다.,"From the time it is born, a flame burns at the tip of its tail. Its life would end if the flame were to go out.",4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/4.png,39,52,43,60,50,65,fire
5,리자드,Charmeleon,화염포켓몬,Flame Pokémon,꼬리를 휘둘러 상대를 쓰러트리고 날카로운 발톱으로 갈기갈기 찢어버린다.,"When it swings its burning tail, it elevates thetemperature to unbearably high levels.",싸움으로 기분이 고조되면 작열하는 불꽃을 뿜으며 주변을 태워버린다.,"If it becomes agitated during battle, it spouts intense flames, incinerating its surroundings.",5,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/5.png,58,64,58,80,65,80,fire
6,리자몽,Charizard,화염포켓몬,Flame Pokémon,입에서 작렬하는 불꽃을 토해낼 때 꼬리의 끝이 더욱 붉고 격렬하게 타오른다.,Spits fire that is hot enough to melt boulders.Known to cause forest fires unintentionally.,지상 1400m까지 날개를 사용해 날 수 있다. 고열의 불꽃을 내뿜는다.,"Its wings can carry this Pokémon close to an altitude of 4,600 feet. It blows out fire at very high temperatures.",6,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/6.png,78,84,78,109,85,100,fire
7,꼬부기,Squirtle,꼬마거북포켓몬,Tiny Turtle Pokémon,등껍질에 숨어 몸을 보호한다. 상대의 빈틈을 놓치지 않고 물을 뿜어내어 반격한다.,"After birth, its back swells and hardens into ashell. Powerfully sprays foam from its mouth.",위험해지면 등껍질에 손발을 감추고 몸을 지키면서 입에서 물을 내뿜는다.,"When it feels threatened, it draws its limbs inside its shell and sprays water from its mouth.",7,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/7.png,44,48,65,50,64,43,water
8,어니부기,Wartortle,거북포켓몬,Turtle Pokémon,딱 하고 머리를 맞을 때 등껍질로 숨어서 피한다. 하지만 꼬리가 살짝 삐져나와 있다.,"Often hides in water to stalk unwary prey. Forswimming fast, it moves its ears to maintain balance.",탐스러운 귀와 꼬리를 능숙하게 다뤄서 수중에서의 밸런스를 유지한다.,It cleverly controls its furry ears and tail to maintain its balance while swimming.,8,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/8.png,59,63,80,65,80,58,water
9,거북왕,Blastoise,껍질포켓몬,Shellfish Pokémon,무거운 몸으로 상대를 덮쳐서 기절시킨다. 위기에 처하면 등껍질에 숨는다.,A brutal POKéMON with pressurized water jets on itsshell. They are used for high speed tackles.,등껍질의 로켓포에서 뿜어져 나오는 제트 수류는 두꺼운 철판도 뚫는다.,The rocket cannons on its shell fire jets of water capable of punching holes through thick steel.,9,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/9.png,79,83,100,85,105,78,water
10,캐터피,Caterpie,애벌레포켓몬,Worm Pokémon,머리의 더듬이로부터 강렬한 냄새를 내어 적을 물리치고 몸을 보호한다.,Its short feet are tipped with suction pads that enable it to tirelessly climb slopes and walls.,다리는 짧지만 빨판으로 되어 있어 비탈길이나 벽에서도 지치지 않고 나아간다.,Its short feet are tipped with suction pads that enable it to tirelessly climb slopes and walls.,10,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10.png,45,30,35,20,20,45,bug
